Category,Title,Source,Date,Link,Summary,Test Status,Test Result
Real-World Incidents & Exploits,Public Google API keys can be used to expose Gemini AI data,Malwarebytes,Feb 27 2026,https://www.malwarebytes.com/blog/news/2026/02/public-google-api-keys-can-be-used-to-expose-gemini-ai-data,Exposed keys let attackers pull Gemini data directly,PASS,1 vuln → CWE-200 (Information Exposure). Correct mapping for API key exposure.
Real-World Incidents & Exploits,"Claude Desktop Extensions Exposes Over 10,000 Users to Remote Code Execution Vulnerability",LayerX,Feb 9 2026,https://layerxsecurity.com/blog/claude-desktop-extensions-rce/,Zero-click RCE via Google Calendar events,PASS,"2 vulns → CWE-94 (Code Injection), CWE-1333. Correct for RCE via calendar events."
Agentic AI & Emerging Threats,Agentic AI: The 2026 threat multiplier reshaping cyberattacks,Barracuda Networks,Feb 27 2026,https://blog.barracuda.com/2026/02/27/agentic-ai--the-2026-threat-multiplier-reshaping-cyberattacks,Autonomous agents turn multi-stage attacks into persistent operations,PASS,1 vuln → CWE-250 (Excessive Privileges). Correct for agentic threat article.
Agentic AI & Emerging Threats,This month in security with Tony Anscombe – February 2026 edition,ESET WeLiveSecurity,March 2026,https://www.welivesecurity.com/en/videos/month-security-tony-anscombe-february-2026/,GenAI misused to compromise 600+ FortiGate devices + new PromptSpy malware,PASS,"4 vulns → CWE-1390 (Weak Auth), CWE-451 (UI Misrepresentation), CWE-614, CWE-350. Video summary covers multiple news items."
Agentic AI & Emerging Threats,Nation-State Threat Actors Incorporate AI to Streamline Attacks,KnowBe4,Feb 26 2026,https://blog.knowbe4.com/nation-state-threat-actors-incorporate-ai-to-streamline-attacks,State actors bypass guardrails in ChatGPT/Gemini/Grok,PASS,"2 vulns → CWE-1336 (Template Engine), CWE-1426 (Improper Validation of GenAI Output). Reasonable for AI-assisted social engineering."
Supply Chain & OWASP Updates,Top AI Security Incidents of 2025 Revealed,Adversa AI,Early 2026,https://adversa.ai/blog/adversa-ai-unveils-explosive-2025-ai-security-incidents-report-revealing-how-generative-and-agentic-ai-are-already-under-attack/,35% of incidents caused by simple prompt injection; agent abuse rising,PASS,"2 vulns → CWE-250 (Excessive Agency), CWE-1427 (Prompt Injection). Correct top-level categories."
Supply Chain & OWASP Updates,OWASP Top 10 Risks for Large Language Models: 2025 updates,Barracuda Blog,Nov 20 2024 (widely covered 2025),https://blog.barracuda.com/2024/11/20/owasp-top-10-risks-large-language-models-2025-updates,Prompt injection #1; new focus on system prompt leakage,PASS,"7 vulns → CWE-1427, CWE-94, CWE-202, CWE-506, CWE-250, CWE-200, CWE-1230. Each OWASP risk correctly mapped to a CWE."
Supply Chain & OWASP Updates,Kicking Off the 2026 Update to the OWASP Top 10 for LLM Applications,LinkedIn/OWASP (Steve Wilson),Feb 25 2026,https://www.linkedin.com/pulse/kicking-off-2026-update-owasp-top-10-llm-applications-steve-wilson-ww6nc,Community call for 2026 refresh including Agentic AI Top 10,PASS,0 vulns. Article is an announcement/call-for-input — no specific vulnerabilities described. Correct behavior.
Supply Chain & OWASP Updates,AI-Driven Supply Chain Attacks: The New Cyber Risk in 2025,NeuralTrust,Sep 25 2025,https://neuraltrust.ai/blog/ai-driven-supply-chain-attacks,Poisoned models and deepfake vendor impersonation in logistics/MedTech,PASS,"3 vulns → CWE-506 (Malicious Code), CWE-94 (Code Injection), CWE-614. Supply chain attacks correctly identified."
Additional High-Impact Reports,IBM X-Force: AI creates security challenges for enterprises,Network World,Feb 2026,https://www.networkworld.com/article/1234567/ibm-xforce-ai-security-challenges-2026.html,AI supply-chain and prompt risks highlighted in latest report,URL_404,0 vulns. Page returns 404 / not found.
Additional High-Impact Reports,Top 14 AI Security Risks in 2026,SentinelOne,Jan 2026,https://www.sentinelone.com/blog/top-ai-security-risks-2026/,Comprehensive ranking of GenAI threats with real incident data,URL_404,0 vulns. Page returns 404 / not found.
Additional High-Impact Reports,ClawJacked Flaw Lets Malicious Sites Hijack Local OpenClaw AI Agents,The Hacker News,Feb 2026,https://thehackernews.com/2026/02/clawjacked-flaw-openclaw-agents.html,Local agent hijacking via malicious sites,URL_404,0 vulns. Page returns 404 / not found.
Additional High-Impact Reports,Prompt injection to RCE in AI agents,Trail of Bits,Oct 2025,https://blog.trailofbits.com/2025/10/15/prompt-injection-to-rce-in-ai-agents/,Detailed technical breakdown of agent RCE chains,URL_404,0 vulns. Page returns 404 / not found.
Additional High-Impact Reports,Anthropic releases new guidance on detecting distillation attacks,Anthropic Blog,Feb 2026,https://www.anthropic.com/news/distillation-attacks-guidance,New research on model extraction vulnerabilities,NO_CONTENT,0 vulns. Page has minimal content (announcement with no technical detail).
Additional High-Impact Reports,FortiGate devices compromised via AI-assisted attacks,ESET,Feb 2026,https://www.welivesecurity.com/2026/02/fortigate-ai-assisted-attacks/,600+ devices hit using GenAI for exploit generation,URL_404,0 vulns. Page returns 404 / not found.
Additional High-Impact Reports,Gartner: AI Security Posture Management is now critical,Gartner,Jan 2026,https://www.gartner.com/en/articles/ai-security-posture-management-2026,Enterprise guidance on GenAI vuln management,PAYWALL,0 vulns. Gartner paywall blocks content extraction.
Additional High-Impact Reports,Cisco State of AI Security 2026 Report,Cisco,Feb 2026,https://www.cisco.com/c/en/us/products/security/state-of-ai-security-2026.html,"Global survey of 5,000+ orgs on GenAI attack surface",PAYWALL,0 vulns. Page redirects or is behind paywall.
Additional High-Impact Reports,HiddenLayer: 2025 AI Security Report,HiddenLayer,Dec 2025,https://hiddenlayer.com/ai-security-report-2025/,Model poisoning and supply-chain incidents deep-dive,NO_CONTENT,0 vulns. Report is behind a download gate; landing page has no extractable vulnerability data.
